conc,D/A
77.537,0.245664
77.5427,0.25258
77.5658,0.250495
77.5946,0.242501
77.6436,0.247749
77.6569,0.247357
77.7046,0.261803
77.7115,0.240472
77.7146,0.244118
77.7937,0.26164
77.81,0.251958
77.911,0.25604
77.947,0.26033
77.9698,0.263295
78.1102,0.2526
78.2886,0.243735
78.3593,0.262129
78.3877,0.258329
78.4556,0.256258
78.4686,0.257645
78.5429,0.243936
78.5846,0.239917
78.5874,0.262182
78.5938,0.26935
78.6569,0.248421
78.7764,0.254076
78.8408,0.246526
78.8425,0.259883
78.9107,0.249401
78.963,0.250653
78.9883,0.252339
79.0605,0.255623
79.0921,0.256072
79.1141,0.254069
79.1364,0.262866
79.1592,0.255298
79.1906,0.25508
79.2253,0.253614
79.2472,0.255161
79.2988,0.243292
79.3267,0.245077
79.3536,0.2638
79.3874,0.255732
79.4883,0.247292
79.6717,0.246899
79.7003,0.255488
79.7165,0.258561
79.748,0.253913
79.7544,0.254701
79.7671,0.248907
79.7894,0.240865
79.9264,0.245744
79.9498,0.247136
79.9647,0.239752
80.193,0.253372
80.2022,0.259065
80.2053,0.265668
80.236,0.262531
80.2513,0.249313
80.3172,0.248193
80.3354,0.262281
80.3777,0.242932
80.4034,0.262761
80.456,0.251291
80.627,0.248152
80.6627,0.263223
80.7463,0.247391
80.8122,0.271482
80.8148,0.247577
80.8579,0.264021
80.8975,0.236229
81.0123,0.248166
81.0339,0.266831
81.0384,0.250914
81.0443,0.256632
81.092,0.245383
81.12,0.241852
81.1301,0.262296
81.1575,0.249993
81.2486,0.254006
81.2583,0.25211
81.2586,0.248979
81.329,0.250516
81.3417,0.267148
81.3787,0.258471
81.4039,0.242746
81.4533,0.247058
81.474,0.255686
81.479,0.250055
81.5206,0.260358
81.6335,0.244707
81.6873,0.249232
81.6895,0.23948
81.7194,0.253632
81.8628,0.248018
81.9109,0.254724
81.963,0.252615
81.9731,0.249334
81.9741,0.265993
81.9949,0.232758
82.0283,0.257285
82.0312,0.237384
82.0668,0.237831
82.0746,0.248994
82.1072,0.249795
82.129,0.255941
82.2224,0.25471
82.2282,0.249105
82.283,0.252686
82.3011,0.248904
82.3805,0.252443
82.4063,0.254455
82.422,0.249088
82.4742,0.249051
82.4914,0.251703
82.5262,0.257148
82.5839,0.250696
82.5963,0.257721
82.6496,0.259726
82.7424,0.253111
82.7582,0.247729
82.7725,0.247742
82.8035,0.253343
82.8224,0.234289
82.8259,0.243796
82.8357,0.262527
82.8972,0.247525
82.91,0.252937
83.0251,0.243155
83.0581,0.245663
83.1737,0.246032
83.1783,0.242968
83.1819,0.238588
83.1886,0.25545
83.2684,0.238703
83.3369,0.251406
83.383,0.249213
83.4173,0.24463
83.4233,0.24009
83.4979,0.254969
83.6324,0.262108
83.6598,0.249117
83.7478,0.240242
83.7665,0.255942
83.7888,0.250327
83.8087,0.24533
83.8409,0.225098
83.8612,0.246797
